"place","journal","journal_entry","date_mdy","month","transcription_accuracy","location","location_accuracy","local_place_accuracy","latitude","latitude_origin","longitude","longitude_origin","quantity","unit","item","letter","letter_to","letter_from","wind_direction_am","wind_direction_pm","wind_direction_night","weather_condition_am","weather_condition_pm","weather_condition_night","temperature_am","temperature_pm","temperature_night","image_path","image_description","recorder","notes","noteworthy","second_check"
"Home",1,"Staid at home","7/14/1872","July","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"Staid at home all day","8/25/1872","August","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Lodge Of Good Templars",1,"Made sink mantle piece & went to Lodge of Good Templars","9/14/1872","September","confident","Winter Harbor","mentioned","mentioned",0,NA,0,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"Quite sick took sweat at night","9/24/1872","September","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"Reed letter from Chas. C. Burrill","9/30/1872","September","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Charles C. Burrill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,NA,"10/6/1872","October","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"On the mending hand several came in to see me.","10/12/1872","October","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",1,"Work about Home sent to Boston after Parlor stove","10/24/1872","October","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Shop",1,"Work in shop jobbing","10/31/1872","October","confident","Winter Harbor","mentioned","mentioned",44.39078,NA,68.09316,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Shop",1,"Work in shop all day","12/6/1872","December","confident","Winter Harbor","mentioned","mentioned",44.39078,NA,68.09316,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Shop",1,"Work in shop on lathe","12/18/1872","December","confident","Winter Harbor","mentioned","mentioned",44.39078,NA,68.09316,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"EP"
"Home",2,"Pleasant the wind west work in shop finished the jig saw went to the of Lodge of Good Templars","01/04/1873","January","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"The wind to the southward work in shop making settees for the hall","01/16/1873","January","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO","assumed N for Southward am",NA,"DD, LN"
"Home",2,"Moderate and rain in the forenoon . afternoon the wind North West and cold work in shop on settees","01/22/1873","January","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,"NW",NA,"rain","cold",NA,NA,NA,NA,NA,NA,"SO","changed setees to settees",NA,"DD, LN"
"Home",2,"The wind North West quite cold in forenoon afternoon moderate. Work in shop making bow drill","01/28/1873","January","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,"quite cold",NA,NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"Making window frames for Geo. Sargent. The wind south quite cold","02/03/1873","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"quite cold",NA,NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"The wind. N.W and warm staid at home","02/09/1873","February","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,"warm",NA,NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"The wind W.S.W. morning cold very moderate in afternoon. finished door frames for Geo. Sargent Turning and jigsawing Organ stool etc. for Reuben Rand","02/15/1873","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"WSW",NA,NA,"cold",NA,NA,NA,NA,NA,NA,NA,"SO","changed &c to etc.",NA,"DD, LN"
"Home",2,"The wind very moderate or calm work in shop on boat. Recd letter from Thomas Bunker Cranberry Isles","02/21/1873","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Thomas Bunker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"Calm untill evening then the wind to the eastward. Made a modle for a boat for A Newman","02/27/1873","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,"SO","assumed W for Eastward am",NA,"DD, LN"
"Home",2,"The wind N.W Cold in forenoon made three moulds for a boat went to the Harbor on business","03/05/1873","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,"cold",NA,NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"Calm in the morning and pleasant. At noon. The wind ESE snowing and blowing in the evening raining. work in shop on boat","03/11/1873","March","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,"ESE",NA,NA,"snow","rain",NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"The wind N.W blowed heavy work in shop on boat for A. B. Newman","03/17/1873","March","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"The wind S.W moderate staid at home","03/23/1873","March","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"The wind South West in morning SSE in afternoon and rained heavy. Fresh breeze put top gunnels on boat recd letters from C. C. Burrill and Geo. N. Loomis","03/29/1873","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Charles C. Burill, George N. Loomis","SSW","SSE",NA,NA,"heavy rain",NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"The wind N.W. work on A. G. Brooks dinner at T. Smallidge's. paid Emmily Mason $.75","04/04/1873","April","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO","changed Smallidges to Smallidge",NA,"DD, LN"
"Home",2,"The wind N.N.E clear went to Ellsworth in stage dinner at E. Kingsley supper and lodging at City Hotel","04/16/1873","April","confident","Winter Harbor, Ellsworth","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NNE",NA,NA,"clear",NA,NA,NA,NA,NA,NA,NA,"SO","changed & to and",NA,"DD, LN"
"Home",2,"The wind W.N.W. fesh breeze Hewed stick timber made ginger bread roller","04/22/1873","April","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"WNW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO",NA,NA,"DD, LN"
"Home",2,"The wind N.W by W. pointed and headed bolts for the boat putting rail on boat wrote letter to Henry Geyer","04/28/1873","April","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Henry Geyer",NA,"NWW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO","changes & to and",NA,"DD, LN"
"Home",2,"E.S.E. Rainy work in shop in forenoon And on A. G. Brooks mainsail in afternoon read package of Liimemnt by Express from H. Geyer","05/10/1873","May","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"ESE",NA,NA,"rainy",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind N.W.and.S.W. plowed furrowed and hauled dressing.","05/16/1873","May","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW, SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","wind from 2 directions, changed & to and",NA,"DD, LN"
"Home",2,"The wind southerly and rainy worked in shop making sink and getting out finishing for a butry","05/22/1873","May","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"rainy",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind North started for Ellsworth went to Lamoine hired team went and went to Ellsworth to see if acct had been settled on J. Moore Estate came back to Lamoine meals on board started for home anchored at stave Island at 12 PM","06/03/1873","June","confident","Winter Harbor, Lamoine, Ellsworth, Lamoine, Stave Island","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind Eastherly and pleasant hauled load of boards for Wm. Dodge in the forenoon in the afternoon work on road with oxen","06/09/1873","June","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind North west staid at home","06/15/1873","June","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind North West went a fishing A. squall of rain and hail at night went to Lodge of Good Templars","06/21/1873","June","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,"rain squall, hail",NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind Southerly worked 1/2 day on A. G. Brooks Galley put foretopmast on Mermaid","06/27/1873","June","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind southerly and foggy done jig sawing for R. Rand one half day took the boat ashore and cleaned her and hauled of","07/09/1873","July","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"foggy",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind Northerly strong breeze. went to Crabtrees neck and back in boat. wrote letter to E. Kingsley answered by Kellly Kingsley","07/15/1873","July","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"write","E. Kingsley, Kelly Kingsley",NA,"N",NA,NA,"NS",NA,NA,NA,NA,NA,NA,NA,"DD","changed breese to breeze, not sure if crabtree's neck or crabtree's nook",NA,"DD, LN"
"Home",2,"The wind N.W. commenced haying again put up 28 stacks","07/21/1873","July","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,"28","stack","hay","no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind South Easterly and rainy went to Mrs. French Temperance lecture in afternoon","07/27/1873","July","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SE",NA,NA,"rainy",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind Southly and foggy. got one load off hired Saml. Woods team and went home Sold the Mermaid","08/02/1873","August","confident","Jones Cove, Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,"1","load","wood","no letter",NA,NA,"S",NA,NA,"foggy",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind Southerly went to Bar Harbor to settle with Benj. Kittridge for the Schr Signal and took the Schr. Amulet and came home in her","05/26/1873","August","confident","Winter Harbor, Bar Harbor, Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","changed Kittredge to Kittridge",NA,"DD, LN"
"Home",2,"The wind Southerly and foggy started to go to Bar Harbor moderate ate and went back finished wheel barrow","09/13/1873","September","confident","Winter Harbor, Bar Habor, Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"foggy",NA,NA,NA,NA,NA,NA,NA,"DD","changes & to and",NA,"DD, LN"
"Home",2,"The wind South West left home for Jordans river arrived at sunset landed 60 bushels meal for Benj. Kittridge","10/01/1873","October","confident","Winter Harbor, Jordan River","assumed","mentioned",44.39044,NA,68.09314,NA,"60","bushel","meal","no letter",NA,NA,"SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind N.W. got under way and went to Bass Harbor until the wind moderated arrived at home at dark recd letter from Thomas Bunker and Nathan Goodwin","10/13/1873","October","confident","Deer Isle, Bass Harbor, Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Thomas Bunker, Nathan Goodwin","NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","changed Bunke to Bunker",NA,"DD, LN"
"Home",2,"The wind southerly Georgia Foss baby died AM.","10/19/1873","October","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind N.N.W. could not load recd letter from Perley and Russell wrote letters to Chas Eaton Greens Landing and Benj. Kittridge","10/25/1873","October","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"read and write","Chas Eaton, Benjamin Kittridge","Perley and Russel","NNW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind Easterly and rainy got under way from Stave Island and came home","10/31/1873","October","confident","Stave Island, Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"E",NA,NA,"rainy",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind Westerly getting ready to go to Rockland filled water repaired boat etc.","11/06/1873","November","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","changed &c to etc.",NA,"DD, LN"
"Home",2,"The wind very moderate and warm Southerly went to the lower Harbor to see Daniel Southard","12/18/1873","December","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"warm",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind North Easterly very moderate hauled the Amulet in the wharf and took out load for myself and J. F. Kingsley. Married Joseph Bickford and Miss Annier Springer recd therefor $2.00","12/24/1873","December","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",2,"The wind North west made Organ Stool for Montgammery Hammond","12/30/1873","December","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, LN"
"Home",3,"The wind North Easterly finished making boxes for wind mill","01/05/1874","January","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"WD, DD, LN"
"Home",3,"The wind North West set lamp post for Lodge at Good Templars recd letter from Hanncock Co. publishing company","01/17/1874","January","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,"1","count","lamp","read",NA,"Hancock Publishing Company","NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"DD, LN"
"Home",3,"The wind Northerly and moderate made hammer for horse pistol.","02/04/1874","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,"1","count","hammer","no letter",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"DD, LN"
"Home",3,"The wind N.N.E. went gunning got one","02/10/1874","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,"1","count","bird","no letter",NA,NA,"NNE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"WD, DD, LN"
"Home",3,"The wind N.E. overcast walked to W. Gouldsboro got dinner with J. Shaw. took stage to Sullivan walked to S. Franklin in to see Dr. Lewis stoped at the N. E. House all night.","02/16/1874","February","confident","West Gouldsboro, Sullivan, Franklin","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NE",NA,NA,"overcast",NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"WD, DD, LN"
"Home",3,"The wind. N.W. Cold cutting wood had four loads hauled home came out at night recd letters from Arno. Wiswell. Wm. Rosebrooks and","02/28/1874","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,"4","load","wood","read",NA,"Arno Wiswell, William Rosebrooks","NW",NA,NA,"cold",NA,NA,NA,NA,NA,NA,NA,"ER","changed hauld to hauled",NA,"WD, DD, LN"
"Home",3,"The wind N.N.W. smart breeze work on board the Amulet getting pumps clear etc painted the boat inside","03/06/1874","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NNW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER","changed &c to etc.",NA,"DD, LN"
"Home",3,"The wind W.N.West good breeze hauled Amulet from Tracys Blocks to head of his wharf worked 2 hours and 40 minutes Jig sawing for R. Rand.","03/12/1874","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"WNW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"DD, LN"
"Home",3,"The wind S by East and rainy went home by land.","03/18/1874","March","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SE",NA,NA,"rainy",NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"DD, LN"
"Home",3,"The wind North West very heavy breeze and very cold let go second anchor","03/24/1874","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,NA,NA,NA,"cold",NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"DD, LN"
"Home",3,"The wind Westerly got under way at 10 AM stoped at Cranberry Isles until 3 PM went to N.E. Harbor got my wife and came home at dark","04/05/1874","April","confident","Bass Harbor, Cranberry Isles, Northeast Harbor, Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"DD, LN"
"Home",3,"The wind Southerly and warm turned Lounge legs for Chas Pendleton snow in afternoon.","04/11/1874","April","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"warm","snow",NA,NA,NA,NA,NA,NA,"ER",NA,NA,"WD, DD, LN"
"Home",3,"The wind N.N.East AM And southerly in afternoon thick snow six inches of snow fell","04/17/1874","April","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NNE","S",NA,"thick snow",NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"DD, LN"
"Home",3,"The wind very moderate to the S.S.E. Wrote letter to Saml. Libby and work on board vessel","04/23/1874","April","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Samluel Libby",NA,"SSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"WD, DD, LN"
"Home",3,"The wind East heavy rain all day made ladder and belaying pins for vessel","04/29/1874","April","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,"ladder, pins","no letter",NA,NA,"E",NA,NA,"heavy rain","heavy rain","heavy rain",NA,NA,NA,NA,NA,"ER",NA,NA,"WD, DD, LN"
"Home",3,"The wind N.W and S.W work on board vessel gettin ready to go away","05/05/1874","May","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW, SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"DD, LN"
"Home",3,"Calm in morning in Frenchman's Bay at day light the wind breezed up E.N.E. got in Winter Harbor at 8 oclock A.M.","05/29/1874","May","confident","Bass Harbor, Frenchman Bay, Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"ENE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER","changed Frenchmans to Frenchman's",NA,"WD, DD, LN"
"Home",3,"The wind South West and rough got under way at Stave Island at 3 am, got home in afternoon and rafted apart of the timber ashore foggy","06/04/1874","June","confident","Stave Island, Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,NA,"foggy",NA,NA,NA,NA,NA,NA,"ER",NA,NA,"WD, DD, LN"
"Home",3,"The wind Southerly and Westerly very moderate all day got under way at 10 AM for Salem and anchored in Bass Harbor at 12 mid night very dark and overcast.","06/16/1874","June","confident","Winter Harbor, Salem, Bass Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,NA,NA,"overcast",NA,NA,NA,NA,NA,"ER",NA,NA,"DD, LN"
"Home",3,"The wind southerly hauled of from the wharf","06/28/1874","June","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER",NA,NA,"WD, DD, LN"
