date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check,journal
1872-01-02T00:00:00Z,January,Work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-03T00:00:00Z,January,Work in shop.,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-04T00:00:00Z,January,Work in shop wrote a letter to N H Higgins Ellsworth one to Jordan & Blake,confident,"Winter Harbor, Ellsworth",mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,write,NA,"N. H. Higgins, Jordan & Blake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,"One to Jordan + Blake?, went to Ellsworth or sent the letter to Ellsworth?",NA,"WD, EP",1
1872-01-05T00:00:00Z,January,Wrote a will for Benj Rand,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,write,NA,Benjamin Rand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Wrote a will entered as wrote a letter,NA,"WD, EP, FL",1
1872-01-06T00:00:00Z,January,Unwell took sweat at night.,confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Unwell took sweat at night,NA,EP FL,1
1872-01-07T00:00:00Z,January,Unwell staid in house.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-08T00:00:00Z,January,Unwell staid in house.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-09T00:00:00Z,January,Went to C. J. Guptills first time out since sat.,confident,Winter Harbor,assumed,"Home, Charles J. Guptill's, Home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Matches with records for Charles J Guptill,NA,"WD, EP",1
1872-01-10T00:00:00Z,January,Work around home.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-11T00:00:00Z,January,Went up the stream to pile up wood.,confident,Winter Harbor,assumed,Up Stream,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-12T00:00:00Z,January,About home wrote a letter to Amery Otis Ellsworth. Regs one to G H Loomes Ins. Agt. Portsmouth,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,write,NA,"Amery Otis, G H Loomes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,"Regs for register?, maybe G. N instead of G. H.",NA,"WD, EP",1
1872-01-13T00:00:00Z,January,Cleaning road and and cutting wood on home lot.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-14T00:00:00Z,January,Went to Mrs. Lydia Bickford funeral.,confident,NA,NA,Cementary,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-15T00:00:00Z,January,Cutting wood on home lot.,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-16T00:00:00Z,January,Whites landing cutting wood.,confident,Winter Harbor,assumed,Whites Landing,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-17T00:00:00Z,January,Mending boots.,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-01-18T00:00:00Z,January,Cutting wood at Whites Landing.,confident,Winter Harbor,assumed,Whites landing,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-19T00:00:00Z,January,Cutting wood Whites Landing,confident,Winter Harbor,assumed,Whites landing,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP,1
1872-01-20T00:00:00Z,January,Cleaning gun & rifle.,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-21T00:00:00Z,January,Meeting forenoon Benj. Rands funeral afternoon,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-01-22T00:00:00Z,January,Boating and hauling wood,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-23T00:00:00Z,January,Wrote a letter to Joseph Bunker C Isles. recd one of Geo N Loomis Ins Agt,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,recd and write,George N. Loomis,Joseph Bunker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-24T00:00:00Z,January,Hewing sill and sleepers for shed floor,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-01-25T00:00:00Z,January,Laying shop floor,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"EP, FL",1
1872-01-26T00:00:00Z,January,Work in shop making improvements thereon,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-27T00:00:00Z,January,Work in shop,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"EP, FL",1
1872-01-28T00:00:00Z,January,Went to meeting,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,FL,1
1872-01-29T00:00:00Z,January,Wrote a letter to Jos. Bunker one to Hale ⌘Emery went up stream cutting wood,confident,Winter Harbor,assumed,Up Stream,mentioned,NA,NA,NA,NA,NA,NA,NA,write,NA,"Joseph Bunker,  Hale ⌘Emery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Hale V. Emery insead of Hale ⌘Emery?,NA,"WD, EP",1
1872-01-30T00:00:00Z,January,Cutting wood stopping at camp,confident,Winter Harbor,assumed,Camp,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-01-31T00:00:00Z,January,Cuting wood stopping at camp,confident,Winter Harbor,assumed,Camp,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-01T00:00:00Z,February,Came home from camp recd a letter from Joseph Bunker & Hale & Emery,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,received,"Joseph Bunker, Hale V. Emery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-02T00:00:00Z,February,Work in shop wrote a letter to Joseph Bunker,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,write,NA,Joseph Bunker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-03T00:00:00Z,February,Work in shop recd a letter from C.C. Burrill Ellsworth one from George N Loomis,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,read,"Charles C. Burrill, George N Loomis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-02-04T00:00:00Z,February,Staid at home,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-05T00:00:00Z,February,Work in shop,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-06T00:00:00Z,February,Work in shop,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-07T00:00:00Z,February,Went arond with C.C. Burrill in the Insurance business Hilliard Guptill died in the morning,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-02-08T00:00:00Z,February,Building lathe in shop,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-02-09T00:00:00Z,February,Work in shop,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-10T00:00:00Z,February,Went to C Isles to buy boat in A. G. Brooks took dinner on board supper & lodging at Joseph Bunkers,confident,Cranberry Isles,mentioned,Joseph Bunker's,mentioned,NA,NA,NA,NA,1,n,boat,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD,EP",1
1872-02-11T00:00:00Z,February,Breakfast at Joseph Bunkers dinner at Enoch Spurlings supper and lodging at John Bulgers,confident,Cranberry Isles,mentioned,"Joseph Bunker's, Enock Spirling's, John Bulger's",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-02-12T00:00:00Z,February,Came home in A G Brook very moderate all day,confident,"Cranberry Isles, Winter Harbor",mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-02-13T00:00:00Z,February,Work on lathe,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-02-14T00:00:00Z,February,Finished work on lathe,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD,EP",1
1872-02-15T00:00:00Z,February,Made door steps for J. P. Joy.,confident,NA,NA,J.P. Joy's,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD,EP",1
1872-02-16T00:00:00Z,February,Mending furniture,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-17T00:00:00Z,February,Unwell unable to work,confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-18T00:00:00Z,February,Went to W. Gouldsboro took supper & lodging with Edward Kingsley,confident,West Gouldsboro,mentioned,Edward Kingsley's,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-19T00:00:00Z,February,Breakfast dinner & tea with E Kingsley,confident,West Gouldsboro,mentioned,Edward Kingsley's,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-20T00:00:00Z,February,Went to Ellsworth stoped at City Hotel,confident,Ellsworth,mentioned,City Hotel,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,stopped spelled as 'stoped' ?,NA,EP FL,1
1872-02-21T00:00:00Z,February,Attend probate bount Entered will of B Rand Took dinner with C.C. Burrill came to Brasfreet,not confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD,EP",1
1872-02-22T00:00:00Z,February,Took breakfast with A Robinson came home,confident,Winter Harbor,mentioned,"Home, A Robinson's",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-23T00:00:00Z,February,Work in shop,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-24T00:00:00Z,February,Cutting wood at the door went to lodge of Good Templar in Evening,confident,Winter Harbor,mentioned,"Home, Lodge of  Good Templars",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-25T00:00:00Z,February,Staid at home,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-26T00:00:00Z,February,Commenced work in Life Ins. with C.C. Burrill,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-27T00:00:00Z,February,Seeking custom in the Ins busniness,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-02-28T00:00:00Z,February,The same as the day before,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-02-29T00:00:00Z,February,Insured the life of G. W. Tracy Endowment,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-01T00:00:00Z,March,Went to W. Gouldboro working in the Insurance business,confident,West Gouldboro,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-02T00:00:00Z,March,Went to Ellsworth to see Mr Burrill and back home,confident,"Ellsworth, Winter Harbor",mentioned,Charles C. Burril's,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-03T00:00:00Z,March,Went to Flora Gerrish in Evening,confident,NA,NA,Flora Gerrish's,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-04T00:00:00Z,March,Went to town meeing,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-05T00:00:00Z,March,seeking business in Insurance,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-06T00:00:00Z,March,Same as yesterday,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-07T00:00:00Z,March,Same as fifth,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-08T00:00:00Z,March,Went to Prospect in the Insurance business,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-03-09T00:00:00Z,March,Breakfast with H D Coombs dinner with Albert Joy wrote letter to C.C. Burrill came home went to Lodge of Good Templars,confident,Winter Harbor,mentioned,Lodge of Good Templars,mentioned,NA,NA,NA,NA,NA,NA,NA,write,NA,Charles C. Burrill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, EP",1
1872-03-10T00:00:00Z,March,Staid at home,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-11T00:00:00Z,March,Left the Ins Business wrote a letter to Dr. G. N. Harden,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,write,NA,Dr. G. N. Harden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-12T00:00:00Z,March,Went to I Hammonds to see Dr. Stockman,confident,Winter Harbor,assumed,I. Hammond's,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,might be Thomas Hammond,NA,"WD, EP",1
1872-03-13T00:00:00Z,March,Work in shop,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-14T00:00:00Z,March,Same as yesterday,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-15T00:00:00Z,March,Jobbing recd letter from G. N. Harden M D.,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,received,Dr. G. N. Harden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP FL,1
1872-03-16T00:00:00Z,March,Went to District meeting found it to be illegal went to Lodge of Good Templars in evening staid to A. J. Gerrishes all night,confident,Winter Harbor,mentioned,"District Meeting, Lodge of Good Templars,  A. J. Gerrish's",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP,1
1872-03-17T00:00:00Z,March,Breakfast at A. J. Gerrishes dinner with T. Smallidge,confident,Winter Harbor,mentioned,"A. J. Gerrishes',  Thomas Smallidge's",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP,1
1872-03-18T00:00:00Z,March,Work in shop on windmill,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,Eo,1
1872-03-19T00:00:00Z,March,Same as yesterday,confident,Winter Harbor,mentioned,Shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP,1
1872-03-20T00:00:00Z,March,Went to W. Gouldsboro in the Insurance business took dinner with E Kingsley tea with H. Young Lodging Wm Joys,confident,West Gouldsboro,mentioned,"Edward Kingsley's, William Joy's",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,EP,1
