date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check,
2/4/1886,February,Wind North. Fresh. Thermometer 10 degrees below zero. Staid in house and made sails for the wind mill out of a vessels sail,confident,Winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,count,"sail, windmill",no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,GG,
2/5/1886,February,Wind Northerly Fresh. and the Thermometer below zero all day To cold to work in shop. and staid in the house most of the time,confident,Winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,NA,NA,NA,NA,NA,fresh,NA,NA,0,0,0,NA,NA,NA,NA,NA,GG,
2/6/1886,February,Wind NorthWest Thermometer at zero Good Sleighing. The growth of birches and hackmatack. are very badly broken down by the recent sleet storm. The oldest inhabitants never knew of so much damage to the forest as on the 28 land 29 of January. Up to this day but few trees have righted so their tops have come out the ice. being bent down or broken by the kept of ice and then freezing down,somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,GG,
2/7/1886,February,Wind moderate Westerly and fine. In the forenoon Went to the Marsh to Uncle Clement Bunkers accompanied by my wife and daughter Came back in the afternoon,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,moderate,NA,NA,fine ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/8/1886,February,Wind Southerly and warm. Work about home. The Wind mill is all completed in all its particulars now ready to run when the winds are Westerly,confident,Winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S ,NA,NA,NA,NA,NA,warm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/9/1886,February,Calm all day With the thermometer up to 40 degrees. The Ice melting of the trees that was bent down under its weight Reed letter from Ira Berry Grand See and Fressiden I day Grand Master of FS AM. In answer to a coomunication Also Reed Copy of Constitution from Grand Lodge F & AM,somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,read,Ira Berry Grand,NA,NA,NA,NA,calm,calm,calm,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,GG,
2/10/1886,February,Wind Easterly fair weather. Made three candle sticks for the Masonic Hall on the Hall we intend to use when the Lodge is granted a dispensation In the evening attended the meeting of Wasons,confident,Winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,fair,fair,fair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/11/1886,February,Wind Easterly and fine. In the afternoon & evening went to Capt H. E Tracys. and W. Geo. Childs visiting stoping afternoon and evening,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,NA,NA,NA,fine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/12/1886,February,Wind South East and rainy all day Comp any all day no work done.,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SE,SE,SE,NA,NA,NA,rainy,rainy,rainy,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/13/1886,February,Wind South South East and a heavy rain all day Large quantities of snow melts. Work apart of the day on Geo. Childs boat. Reed Check $50. from H.B. Rawson & Co. New York,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SSE,SSE,SSE,NA,NA,heavy rain,heavy rain,heavy rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/14/1886,February,Wind Southerly. and Thermometer 54 degrees above zero. ice melting very fast and the sleighing fast breaking up.,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,GG,
2/15/1886,February,Wind Easterly. and overcast. In the afternoon went to Milbridge to visit Pleiades Lodge. of F. & A.M. and presented petition from Masons at Winter Harbor to Pleiades Lodge. for their approval of our having a Lodge under a dispensation Alfred Hampleton was raised to the sublime degree of a Master Mason From 9 untill midnight very heavy rain with tremendous thunder and lightning Stoping the night at the Atlantic House. Sleighing all gone cam here with a wagon,somewhat confident,"Milbridge, Winter Harbor",mentioned,"Pleiades Lodge, Atlantic House",NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/16/1886,February,"Wind NorthWest. in morning, and fine. Staid at milbridge untill afternoon and started for home. Wind South arrived at Prospect at dark. and staid to the Exhibition. got up by the people of that place. After the Exhibition was over started home Wind N.W. snow squalls. arrived home at 11.30 PM. fine weather",confident,Milbridge ,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,"NW, S",NA,NA,NA,NA,NA,"snow squalls, fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/17/1886,February,Wind North West work about home at night wind Southerly Evening went to the Hall to Masonic meeting No snow on the ground on ice around the shores,confident,Winter Harbor,assumed,"home, Hall",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/18/1886,February,Forenoon wind Southerly afternoon North West. moderate and fine. Work on George Childs boat in shop at home. Evening went to the Hall to see them dance it being the last night of Dancing School.,confident,Winter Harbor,assumed,Hall,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NW,NA,moderate,NA,NA,fine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/19/1886,February,Wind Southerly Work apart of the day on Mr. Childs boat. In the evening Went to the Hall a meeting of the Masons. The regular meetings are Wednesday late in the evening heavy rain,confident,Winter Harbor,assumed,Hall,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,heavy rain,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/20/1886,February,Wind Westerly. Work most all day in shop at home turning posts for the inside of Mr. Flints Cottage,confident,Winter Harbor,assumed,"shop, home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/21/1886,February,Wind NorthWest good breeze. Staid about home,confident,Winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,good breeze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/22/1886,February,Moderate Easterly in morning. The remainder of the day calm. Turned stair post for Rand & Summer. for the Flint Cottage. Wrote mortgage deed from Obed & Bickford to Baker & Smith for wood and hoop poles In the evening went to the Hall to a meeting of the masons,confident,Winter Harbor,assumed,Hall,mentioned,NA,NA,NA,NA,count,"wood, hoop pole",NA,no letter,NA,NA,E,NA,NA,moderate,calm,calm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/23/1886,February,Wind Westerly thick with snow in morning. At 8 AM cleared up. Went to Franklin with Capt. Nathan A. Bickford. with John Sargents horse. No business in particular. Took dinner at the Relay House. Got back home at dark.,confident,"Winter Harbor, Franklin",mentioned,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,NA,NA,NA,"thick with snow, cleared up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/24/1886,February,Wind Northerly and fresh. Work in shop at home most all day on Mr. George Childs boat putting wash boards on,confident,"Winter Harbor, Franklin",mentioned,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,NA,NA,NA,NA,NA,fresh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/25/1886,February,"Wind Easterly in the morning with the thermometer down to 6' below zero. At noon wind South and warmer. Went to South Gouldsboro with my wife took Str Sebanea went to Bar Harbor to visit the masonic Lodge In the evening stood examination, and was admitted to the Lodge and avouched for F.W. Tracy. The Lodge opened on the first degree, and Edward Morse was initiated. Wind S.E. at 10 P.M. big snow storm gale of wind",confident,"South Gouldsboro, Bar Harbor",mentioned,masonic lodge,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,S,SE,gale of wind,NA,NA,big snow storm,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,GG,
2/26/1886,February,Wind South East a gale and heavy rain untill 4. PM when it hauled N.E. then NorthWest. and blowed equally as hard and thick with snow. No boats go to South Gouldsboro to day and I stay at Bar Harbor. where I have been to visit the Masonic Lodge,confident,"South Gouldsboro, Bar Harbor",mentioned,masonic lodge,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SE,"NE, NW",NA,a gale,NA,NA,heavy rain,thick with snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/27/1886,February,Wind NorthWest heavy gale. No Boat for South Gouldsboro to day.,confident,South Gouldsboro,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,heavy gale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
2/28/1886,February,Wind North West blowing a gale No boat for South Gouldsboro to day Staying at Bar Harbor waiting for a chance to get home,confident,"South Gouldsboro, Bar Harbor",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,blowing aa gale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/1/1886,March,Wind North West and the thermometer 12 degrees below zero. It is blowing so hard the steamer cannot land at South Gouldsboro. therefore will have to stay over another day. This is town meeting day here as well as at Gouldsboro and a plenty of rum in circulation here,confident,South Gouldsboro,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,blowing hard,NA,NA,NA,NA,NA,-12,NA,NA,NA,NA,NA,NA,NA,GG,
3/2/1886,March,Wind North West. Fresh and cold Came across the Bay from Bar Harbor in Str Sebanou with to So. Gouldsboro. my wife and came home arriving at noon. and found the sails of my windmill blown to pieces and the framework badly wrecked,confident,"Bar Harbor, South Gouldsboro",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,"fresh, cold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/3/1886,March,"Wind North West fresh. breeze. Work about home. In the evening went to the Mason meeting, at the Hall",confident,Winter Harbor,mentioned,"Hall, home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,fresh breeze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/4/1886,March,"Wind North West. Work in shop on Mr. Child's boat Reed letter from the Grand Master F.&. A.M., about at Lodge of Instructions",confident,Winter Harbor,mentioned,shop,mentioned,NA,NA,NA,NA,NA,NA,NA,read,the Grand Master,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/5/1886,March,"Wind North West. Work apart of the day repairing sails for the windmill that blowed to pieces during the gale of Feb 25, while I was at Bar Harbor to visit the Lodge F.&A.M. Wrote to the Deputy Grand Master F.&AM Milbridge",confident,"Bar Harbor, Milbridge",mentioned,NA,NA,NA,NA,NA,NA,NA,count,windmill,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/6/1886,March,NorthWest. Work in the forenoon on Geo Childs boat and finished her. In the afternoon run the wind mill Reed letter from Lincoln H. Leighton Milbridge the Deputy Grand Master F.&.A.M. That he will visit us Wed. the 10th,confident,Milbridge,mentioned,NA,NA,NA,NA,NA,NA,NA,count,windmill,read,Lincoln H. Leighton,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/7/1886,March,Wind North. There had been no snow during the whole winter to amount to any thing the sleighing commenced the first day of February and broke up the 15 of Feb only 15 days sleighing and that was not on snow. but on ice caused by the sleet storm the last of January. there had been several flirts of snow but  the whole to gather would not make sleighing,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,NA,NA,NA,NA,NA,sleet storm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/8/1886,March,Wind Southerly work at home in shop finished several jobs that was commenced some time ago In the evening went to the Hall to a masonic meeting,confident,Winter Harbor,mentioned,"home, Hall",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/9/1886,March,Wind North East. And in the forenoon cold snow storm. Built a float for Charley Kingsley afternoon clear weather. no sleighing,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,NA,NA,NA,NA,NA,"cold, snow storm",clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
